timestamps,TransSelectedGear,TransCurrentGear,TransOutputShaftSpeed,TransInputShaftSpeed,TransShiftInProcess,Time,StateChange
2024-08-05 10:18:41.977693848-03:00,8.0,7.0,658.7273375564268,1718.3070126692805,b'Shift in process',71.977693848,1
2024-08-05 10:18:41.984855755-03:00,8.0,7.0,659.375,1720.25,b'Shift in process',71.984855755,0
2024-08-05 10:18:41.993988033-03:00,8.0,7.0,659.875,1721.625,b'Shift in process',71.99398803300001,0
2024-08-05 10:18:42.003964845-03:00,8.0,7.0,660.75,1724.75,b'Shift in process',72.003964845,0
2024-08-05 10:18:42.013776700-03:00,8.0,7.0,661.0,1722.0,b'Shift in process',72.01377670000001,0
2024-08-05 10:18:42.024302259-03:00,8.0,7.0,660.75,1721.5,b'Shift in process',72.02430225900001,0
2024-08-05 10:18:42.034279071-03:00,8.0,7.0,660.25,1722.75,b'Shift in process',72.034279071,0
2024-08-05 10:18:42.044324885-03:00,8.0,7.0,661.125,1722.625,b'Shift in process',72.04432488500001,0
2024-08-05 10:18:42.054309698-03:00,8.0,7.0,661.375,1721.75,b'Shift in process',72.05430969800001,0
2024-08-05 10:18:42.064201508-03:00,8.0,7.0,660.375,1718.875,b'Shift in process',72.06420150800001,0
2024-08-05 10:18:42.073765296-03:00,8.0,7.0,660.5,1718.25,b'Shift in process',72.073765296,0
2024-08-05 10:18:42.084294605-03:00,8.0,7.0,660.5,1716.5,b'Shift in process',72.08429460500001,0
2024-08-05 10:18:42.084898633-03:00,8.0,7.0,660.5076789274978,1716.4539264350133,b'Shift in process',72.08489863300001,0
2024-08-05 10:18:42.094127163-03:00,8.0,7.0,660.625,1715.75,b'Shift in process',72.09412716300001,0
2024-08-05 10:18:42.103895987-03:00,8.0,7.0,660.375,1713.5,b'Shift in process',72.103895987,0
2024-08-05 10:18:42.113723812-03:00,8.0,7.0,659.0,1710.625,b'Shift in process',72.113723812,0
2024-08-05 10:18:42.124309137-03:00,8.0,7.0,657.25,1711.625,b'Shift in process',72.12430913700001,0
